Wavelength_nm,Response,ExcelInterp,CSVIntensityNorm,ShiftApplied,WL_Min_Filter
454.731659,0.60110959,0.63162466,0.37967564,2.374402,403.00
454.952423,0.59802444,0.61952688,0.37049221,2.374402,403.00
455.173218,0.5895409,0.60729646,0.3580261,2.374402,403.00
455.394012,0.60271197,0.59512787,0.35869069,2.374402,403.00
455.614838,0.60412094,0.58303899,0.35222606,2.374402,403.00
455.835632,0.60956394,0.57112599,0.34813781,2.374402,403.00
456.056488,0.60865279,0.55934134,0.34044467,2.374402,403.00
456.277344,0.60315437,0.54767877,0.33033484,2.374402,403.00
456.498169,0.61961731,0.53611743,0.33218764,2.374402,403.00
456.719025,0.62077683,0.52470226,0.32572301,2.374402,403.00
456.939911,0.62055352,0.51343502,0.31861391,2.374402,403.00
457.160828,0.62723683,0.50257017,0.31523052,2.374402,403.00
457.381714,0.62932807,0.49209991,0.30969229,2.374402,403.00
457.602661,0.62431889,0.48217742,0.30103247,2.374402,403.00
457.823578,0.640397,0.4727447,0.30274429,2.374402,403.00
458.044525,0.64009317,0.46390783,0.29694423,2.374402,403.00
458.265503,0.63251047,0.45571442,0.28824414,2.374402,403.00
458.486481,0.6491443,0.44800816,0.29082194,2.374402,403.00
458.707458,0.64167349,0.44070146,0.28278645,2.374402,403.00
458.928467,0.64527558,0.43374713,0.27988643,2.374402,403.00
459.149445,0.6443053,0.42711741,0.27519401,2.374402,403.00
459.370483,0.64012459,0.42059443,0.26923284,2.374402,403.00
459.591522,0.64828754,0.41442868,0.26866895,2.374402,403.00
459.812561,0.65314519,0.40835553,0.26671545,2.374402,403.00
460.033630,0.66514542,0.40256263,0.26776269,2.374402,403.00
460.254700,0.65962996,0.39695255,0.26184179,2.374402,403.00
460.475800,0.67026859,0.39155344,0.26244597,2.374402,403.00
460.696899,0.67530735,0.3865145,0.26101608,2.374402,403.00
460.917999,0.66860796,0.381833,0.25529658,2.374402,403.00
461.139130,0.66694053,0.3774429,0.25173197,2.374402,403.00
461.360291,0.67687921,0.37323975,0.25263823,2.374402,403.00
461.581390,0.68531815,0.36926084,0.25306115,2.374402,403.00
461.802582,0.68974874,0.3653998,0.25203405,2.374402,403.00
462.023743,0.68638485,0.36167452,0.24824791,2.374402,403.00
462.244934,0.69224618,0.35797214,0.24780485,2.374402,403.00
462.466156,0.6954453,0.3542404,0.24635482,2.374402,403.00
462.687347,0.69688361,0.35053271,0.2442805,2.374402,403.00
462.908600,0.70551352,0.34684441,0.24470342,2.374402,403.00
463.129822,0.69618172,0.34322022,0.23894364,2.374402,403.00
463.351074,0.68872685,0.3395373,0.23384845,2.374402,403.00
463.572357,0.70789965,0.33577503,0.23769503,2.374402,403.00
463.793640,0.71094356,0.3319579,0.23600333,2.374402,403.00
464.014923,0.71517233,0.32808019,0.23463387,2.374402,403.00
464.236237,0.7156291,0.32412793,0.23195538,2.374402,403.00
464.457519,0.7264909,0.32019668,0.23261998,2.374402,403.00
464.678863,0.71785294,0.31630653,0.22706157,2.374402,403.00
464.900208,0.73526928,0.31237489,0.22967966,2.374402,403.00
465.121552,0.72237684,0.3083038,0.22271153,2.374402,403.00
465.342926,0.7318339,0.30404458,0.22251013,2.374402,403.00
465.564301,0.73498894,0.29975279,0.22031498,2.374402,403.00
465.785706,0.74405765,0.2953144,0.21973094,2.374402,403.00
466.007111,0.74607961,0.290789,0.21695175,2.374402,403.00
466.228546,0.74741326,0.28617449,0.21389061,2.374402,403.00
466.449951,0.75257137,0.28156378,0.21189684,2.374402,403.00
466.671417,0.75419013,0.2769273,0.20885584,2.374402,403.00
466.892853,0.75563707,0.27221269,0.205694,2.374402,403.00
467.114319,0.76823757,0.26756439,0.20555302,2.374402,403.00
467.335785,0.76920226,0.2629612,0.20227035,2.374402,403.00
467.557281,0.7754103,0.25833661,0.20031687,2.374402,403.00
467.778809,0.76818712,0.25368728,0.19487931,2.374402,403.00
468.000305,0.78123668,0.24921775,0.19469805,2.374402,403.00
468.221863,0.77529442,0.24468582,0.18970355,2.374402,403.00
468.443390,0.77654277,0.24024674,0.18656186,2.374402,403.00
468.664947,0.78601085,0.23578984,0.18533337,2.374402,403.00
468.886536,0.80041888,0.23124355,0.1850917,2.374402,403.00
469.108124,0.79083337,0.22676322,0.17933192,2.374402,403.00
469.329712,0.79977511,0.22226382,0.17776107,2.374402,403.00
469.551331,0.79784917,0.21792869,0.17387422,2.374402,403.00
469.772949,0.78697088,0.21367337,0.16815472,2.374402,403.00
469.994537,0.79281794,0.20943032,0.16604012,2.374402,403.00
470.216186,0.82135899,0.20521783,0.16855751,2.374402,403.00
470.437866,0.79875992,0.20114052,0.16066299,2.374402,403.00
470.659515,0.80437883,0.19705652,0.15850809,2.374402,403.00
470.881226,0.80148917,0.19306823,0.15474209,2.374402,403.00
471.102905,0.82758921,0.18921814,0.15659489,2.374402,403.00
471.324615,0.81269546,0.18544987,0.15071426,2.374402,403.00
471.546356,0.81945944,0.18178101,0.14896217,2.374402,403.00
471.768066,0.83147043,0.17808938,0.14807605,2.374402,403.00
471.989838,0.82721765,0.17457405,0.14441074,2.374402,403.00
472.211578,0.81448424,0.17117119,0.13941624,2.374402,403.00
472.433350,0.84437112,0.16785538,0.14173223,2.374402,403.00
472.655151,0.8415463,0.1647095,0.13861067,2.374402,403.00
472.876923,0.85467488,0.16173172,0.13822803,2.374402,403.00
473.098724,0.83726505,0.15888892,0.13303214,2.374402,403.00
473.320557,0.84241424,0.15626819,0.13164255,2.374402,403.00
473.542389,0.86267879,0.15376465,0.1326495,2.374402,403.00
473.764252,0.86565843,0.15130443,0.13097795,2.374402,403.00
473.986114,0.86443938,0.14900169,0.12880293,2.374402,403.00
474.207977,0.86248041,0.14674826,0.1265675,2.374402,403.00
474.429871,0.88495529,0.14450056,0.12787653,2.374402,403.00
474.651764,0.89535807,0.14234933,0.12745362,2.374402,403.00
474.873657,0.89092315,0.14023233,0.12493623,2.374402,403.00
475.095581,0.88186928,0.13815518,0.12183481,2.374402,403.00
475.317535,0.88525415,0.13621646,0.12058619,2.374402,403.00
475.539490,0.88908505,0.13433839,0.11943826,2.374402,403.00
475.761414,0.8962804,0.13267571,0.11891464,2.374402,403.00
475.983398,0.89764161,0.13112839,0.1177063,2.374402,403.00
476.205383,0.88971211,0.1296487,0.11535002,2.374402,403.00
476.427368,0.92949634,0.12832449,0.11927714,2.374402,403.00
476.649383,0.92095681,0.1271308,0.11708198,2.374402,403.00
476.871399,0.90524413,0.1260004,0.11406112,2.374402,403.00
477.093445,0.89803036,0.12488208,0.1121479,2.374402,403.00
477.315491,0.91481991,0.12388899,0.11333611,2.374402,403.00
477.537567,0.9226912,0.12281028,0.11331597,2.374402,403.00
477.759644,0.90830167,0.1217848,0.11061733,2.374402,403.00
477.981720,0.92258404,0.12070713,0.11136248,2.374402,403.00
478.203827,0.92068102,0.11981918,0.11031524,2.374402,403.00
478.425934,0.94509531,0.11891877,0.11238957,2.374402,403.00
478.648071,0.94905655,0.11801924,0.11200693,2.374402,403.00
478.870178,0.93477152,0.11719438,0.10954996,2.374402,403.00
479.092316,0.93560349,0.11637983,0.10888537,2.374402,403.00
479.314484,0.9377747,0.11563792,0.10844231,2.374402,403.00
479.536652,0.93375775,0.11486288,0.10725411,2.374402,403.00
479.758850,0.94726356,0.11422443,0.10820064,2.374402,403.00
479.981049,0.98027908,0.11362338,0.11138262,2.374402,403.00
480.203247,0.96061941,0.11309755,0.1086437,2.374402,403.00
480.425476,0.94693799,0.11249849,0.10652909,2.374402,403.00
480.647705,0.9581893,0.11193415,0.10725411,2.374402,403.00
480.869965,0.95605534,0.11144672,0.10654923,2.374402,403.00
481.092224,0.94306534,0.11091039,0.10459574,2.374402,403.00
481.314514,0.98780493,0.11037234,0.10902634,2.374402,403.00
481.536774,0.97002942,0.10984124,0.10654923,2.374402,403.00
481.759094,0.98600951,0.10934782,0.10781799,2.374402,403.00
481.981384,0.98227278,0.1088822,0.10695202,2.374402,403.00
482.203705,0.96333284,0.10847242,0.10449504,2.374402,403.00
482.426025,0.97122352,0.10806807,0.10495825,2.374402,403.00
482.648376,0.96159889,0.10774652,0.10360893,2.374402,403.00
482.870758,0.96635987,0.10742407,0.10381031,2.374402,403.00
483.093109,1.0136023,0.10704665,0.10850272,2.374402,403.00
483.315491,0.96059207,0.10672732,0.10252141,2.374402,403.00
483.537903,1.0127801,0.10643758,0.10779786,2.374402,403.00
483.760315,1.0054826,0.10608842,0.10667007,2.374402,403.00
483.982727,0.96815625,0.10589346,0.10252141,2.374402,403.00
484.205170,1.0033598,0.10563044,0.10598534,2.374402,403.00
484.427612,1.0120802,0.10533716,0.10660965,2.374402,403.00
484.650085,0.99393374,0.10505177,0.10441449,2.374402,403.00
484.872559,1.0190984,0.10482912,0.10683118,2.374402,403.00
485.095032,0.99189124,0.10467928,0.10383046,2.374402,403.00
485.317505,1.0315635,0.10457758,0.10787842,2.374402,403.00
485.540039,1.0348069,0.10454173,0.10818051,2.374402,403.00
485.762543,1.0254076,0.10445907,0.10711313,2.374402,403.00
485.985077,1.0427227,0.10442409,0.10888537,2.374402,403.00
486.207642,1.0235408,0.10427575,0.10673049,2.374402,403.00
486.430206,1.0244325,0.10428328,0.10683118,2.374402,403.00
486.652771,1.0335036,0.10438127,0.10787842,2.374402,403.00
486.875366,1.041724,0.10456287,0.10892565,2.374402,403.00
487.097961,1.040453,0.1046906,0.10892565,2.374402,403.00
487.320557,1.0222249,0.10482371,0.10715341,2.374402,403.00
487.543182,1.0519763,0.10503706,0.1104965,2.374402,403.00
487.765808,1.0320453,0.10527029,0.1086437,2.374402,403.00
487.988464,1.0254514,0.10561333,0.10830134,2.374402,403.00
488.211121,1.0515637,0.10595925,0.1114229,2.374402,403.00
488.433807,1.0361101,0.10633452,0.11017427,2.374402,403.00
488.656464,1.0676506,0.10673943,0.11396042,2.374402,403.00
488.879150,1.0455155,0.10711156,0.11198679,2.374402,403.00
489.101868,1.0578504,0.10744273,0.11365833,2.374402,403.00
489.324585,1.1048018,0.10785311,0.11915631,2.374402,403.00
489.547302,1.0377621,0.10839697,0.11249027,2.374402,403.00
489.770050,1.094126,0.10886866,0.11911603,2.374402,403.00
489.992828,1.0666675,0.10942443,0.11671948,2.374402,403.00
490.215576,1.0824685,0.1100039,0.11907576,2.374402,403.00
490.438385,1.0731787,0.11065588,0.11875353,2.374402,403.00
490.661163,1.0871237,0.11134831,0.12104939,2.374402,403.00
490.883972,1.0889583,0.11201144,0.12197578,2.374402,403.00
491.106811,1.103788,0.11273247,0.12443275,2.374402,403.00
491.329620,1.1137,0.11353745,0.12644666,2.374402,403.00
491.552490,1.0933419,0.1143253,0.12499664,2.374402,403.00
491.775330,1.0989262,0.11506383,0.12644666,2.374402,403.00
491.998199,1.0830806,0.11594767,0.12558068,2.374402,403.00
492.221069,1.1016838,0.11675009,0.12862168,2.374402,403.00
492.443939,1.0827123,0.11762397,0.12735292,2.374402,403.00
492.666870,1.1057128,0.1184921,0.13101824,2.374402,403.00
492.889770,1.1120643,0.11940899,0.13279047,2.374402,403.00
493.112701,1.1291835,0.12034527,0.13589189,2.374402,403.00
493.335663,1.128888,0.12134012,0.13697941,2.374402,403.00
493.558624,1.1290613,0.12230253,0.13808705,2.374402,403.00
493.781586,1.139326,0.12335717,0.14054403,2.374402,403.00
494.004547,1.1122996,0.12438094,0.13834887,2.374402,403.00
